uniprotAC,superkingdom,phylum,class,order,family,genus,species,deepfri prediction1,deepfri prediction2
A0A346PCG0,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrarchaeobaculum,Natrarchaeobaculum sulfurireducens,DNA binding,
A0A1H4ABA8,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus vescus,carbohydrate derivative binding,ribonucleotide binding
A0A2R6JE06,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QS_8_69_73,acting on a protein,
A0A6A9T4D8,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. CBA1125,acting on a protein,lyase activity
A0A3N6M440,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrarchaeobius,Natrarchaeobius chitinivorans,carbohydrate binding,signaling receptor binding
M0D350,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,Halogeometricum pallidum,acting on a protein,ubiquitin-like protein transferase activity
A0A1H6G3I0,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,Natronorubrum sediminis,DNA binding,identical protein binding
U1NUF8,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,Halonotius sp. J07HN4,acting on ester bonds,
A0A2R6MNA4,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon SW_8_68_21,lyase activity,carbon-oxygen lyase activity
A0A1N7EVP5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,Haladaptatus litoreus,DNA binding,
M0PMF7,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum arcis,carbohydrate derivative binding,transporter activity
A0A1H8VRL7,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,Halorientalis persicus,carbohydrate derivative binding,molecular transducer activity
A0A4V6DZQ3,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. ARQ200,transition metal ion binding,
F7PKA2,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea,acting on a protein,transition metal ion binding
A0A4D7H5P8,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloprofundus,Haloprofundus sp. MHR1,carbohydrate derivative binding,acting on a protein
C7P3C6,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei,acting on a protein,ubiquitin-like protein transferase activity
U1QZV2,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,halophilic archaeon J07HB67,transition metal ion binding,dioxygenase activity
A0A498FU08,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. Atlit-9R,acting on a protein,carbohydrate derivative binding
A0A1D2QCA8,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,Haladaptatus sp. W1,acting on a protein,
A0A2R6FLV1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QS_1_69_70,in phosphorus-containing anhydrides,acting on acid anhydrides
A0A6B9F977,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus rallus,transition metal ion binding,
M0NDQ3,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus salifodinae,ribonucleotide binding,carbohydrate derivative binding
A0A3N6MEJ8,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrarchaeobius,Natrarchaeobius chitinivorans,signaling receptor binding,structural molecule activity
M0D0C9,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,Halogeometricum pallidum,acting on a protein,ubiquitin-like protein transferase activity
A0A2R6N258,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon SW_9_67_25,isomerase activity,transition metal ion binding
A0A2B7GCA4,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema sp. CBA1119,carbohydrate derivative binding,acting on a protein
A0A2R6D6D1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QH_7_65_31,acting on a protein,transition metal ion binding
A0A1I6FWN7,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sodomense,lyase activity,acting on ester bonds
U2DZV8,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea,carbohydrate derivative binding,ribonucleotide binding
A0A643KAC7,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. CBA1150,DNA binding,
A0A1H3MNS5,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halopenitus,Halopenitus persicus,acting on a protein,ubiquitin-like protein transferase activity
A0A4U7CWV2,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. SD690R,lyase activity,carbon-oxygen lyase activity
A0A256KRZ1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum ezzemoulense (Halorubrum chaoviator),transition metal ion binding,lyase activity
U1NAI3,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,carbohydrate derivative binding,acting on a protein
A0A256IVI1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum ezzemoulense (Halorubrum chaoviator),carbohydrate derivative binding,
U1NH49,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,Halonotius sp. J07HN6,signaling receptor activity,molecular transducer activity
A0A554NFT8,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloglomus,Haloglomus irregulare,cytoskeletal protein binding,actin binding
M0HGC7,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax gibbonsii,acting on a protein,transition metal ion binding
L9WZJ4,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,Natronococcus amylolyticus,acting on a protein,signaling receptor activity
F7PPS6,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea,acting on a protein,carbohydrate derivative binding
A0A1N7EKB5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,Haladaptatus litoreus,lyase activity,acting on ester bonds
M0BTZ8,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halovivax,Halovivax asiaticus,acting on a protein,isomerase activity
M0E0W9,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum californiense,molecular function regulator,DNA binding
A0A5N5UF30,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halosegnis,Halosegnis rubeus,transition metal ion binding,zinc ion binding
A0A3R7FL48,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula sp. Atlit-47R,lyase activity,acting on ester bonds
V4YA44,Archaea,,,,,,uncultured archaeon A07HN63,structural molecule activity,acting on a protein
A0A830FB00,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,Halarchaeum grantii,lyase activity,monooxygenase activity
A0A371LDY0,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-16N,transition metal ion binding,dioxygenase activity
A0A0W1RB00,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloprofundus,Haloprofundus marisrubri,acting on a protein,ubiquitin-like protein transferase activity
A0A2R6FMB4,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QS_1_69_70,acting on a protein,
A0A3A5JDX5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus sp. IIIV-5B,acting on a protein,molecular transducer activity
M0NAD7,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus salifodinae,acting on a protein,
A0A3A5JKW6,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus sp. IIIV-5B,carbohydrate binding,structural molecule activity
A0A2R6MQM4,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon SW_8_68_21,DNA binding,molecular function regulator
A0A897NXH8,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum desulfuricans,acting on a protein,transition metal ion binding
A0A371K7M7,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-48N,carbohydrate derivative binding,ribonucleotide binding
L9YKV7,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema pallidum,carbohydrate derivative binding,
A0A2I8VKV0,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Salinigranum,Salinigranum rubrum,acting on glycosyl bonds,
A0A1I0NQ85,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema salifodinae,DNA binding,quinone binding
A0A2R6JT23,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QS_8_65_32,acting on ester bonds,acting on a protein
L0JXB0,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,Natronococcus occultus,dioxygenase activity,acting on single donors with incorporation of molecular oxygen
A0A2R6F6M5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QH_8_64_26,transition metal ion binding,
A0A365T8F3,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,halophilic archaeon,carbohydrate derivative binding,ribonucleotide binding
A0A1H3HLW0,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus clavatus,cytoskeletal protein binding,actin binding
A0A0F7PDI3,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halanaeroarchaeum,Halanaeroarchaeum sulfurireducens,acting on ester bonds,carbohydrate derivative binding
A0A2R6FMF4,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QS_1_69_70,carbohydrate derivative binding,ribonucleotide binding
U1QM91,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,Halonotius sp. J07HN4,structural molecule activity,
A0A1M5TGZ9,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobaculum,Halobaculum gomorrense,ubiquitin-like protein transferase activity,acting on a protein
A0A1N7FT13,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,Natronorubrum daqingense,zinc ion binding,transition metal ion binding
A0A5Q0ULN5,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium sp. LC1Hm,ubiquitin-like protein transferase activity,ubiquitin-protein transferase activity
A0A2R6M2J9,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon SW_7_65_23,ubiquitin-like protein transferase activity,acting on a protein
A0A830FPP9,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halocalculus,Halocalculus aciditolerans,quinone binding,
M0PMA8,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum arcis,transition metal ion binding,carbon-oxygen lyase activity
A0A1D2QK66,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,Haladaptatus sp. W1,carbon-oxygen lyase activity,hydro-lyase activity
L9ZLJ5,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema altunense,carbohydrate derivative binding,ribonucleotide binding
I3R980,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax mediterranei,ubiquitin-like protein transferase activity,acting on a protein
A0A2R6H1U0,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QH_8_68_33,acting on NAD(P)H,protein-containing complex binding
D3T1K1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,Natrialba magadii,carbohydrate derivative binding,cytoskeletal protein binding
V5A4F5,Archaea,,,,,,uncultured archaeon A07HR60,cytoskeletal protein binding,actin binding
A0A7D5TWL4,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,Halosimplex pelagicum,transition metal ion binding,lyase activity
A0A1H8VJF4,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,Halogranum amylolyticum,carbohydrate derivative binding,acting on a sulfur group of donors
A0A544QS20,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,Halonotius roseus,carbohydrate derivative binding,signaling receptor binding
U1N8Y0,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,carbohydrate derivative binding,ribonucleotide binding
A0A151AAA8,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,Halalkalicoccus paucihalophilus,carbohydrate derivative binding,DNA binding
A0A081ES60,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum saccharovorum,hydro-lyase activity,transition metal ion binding
A0A897MNP1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natranaeroarchaeum,Natranaeroarchaeum sulfidigenes,transition metal ion binding,lyase activity
A0A5P9P8G3,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,Natronorubrum aibiense,carbohydrate derivative binding,ribonucleotide binding
L0AE10,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,Natronobacterium gregoryi,transition metal ion binding,
A0A371KZZ0,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-19N,acting on a protein,transition metal ion binding
A0A371LRH5,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-4N,carbon-oxygen lyase activity,lyase activity
A0A063ZP61,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halostagnicola,Halostagnicola sp. A56,DNA binding,transcription regulator activity
A0A063ZM03,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halostagnicola,Halostagnicola sp. A56,ubiquitin-like protein transferase activity,ubiquitin-protein transferase activity
A0A2R6FE35,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,Halobacteriales archaeon QH_8_64_26,molecular function regulator,lipid binding
A0A256IJH2,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum halodurans,carbohydrate derivative binding,ribonucleotide binding
M0D7A7,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,Halogeometricum pallidum,carbohydrate derivative binding,ribonucleotide binding
A0A3N6LJZ5,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrarchaeobius,Natrarchaeobius halalkaliphilus,molecular transducer activity,signaling receptor activity
W0JN98,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halostagnicola,Halostagnicola larsenii,cytoskeletal protein binding,structural molecule activity
L9YBU1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema versiforme,cytoskeletal protein binding,protein-containing complex binding
A0A482Y6U0,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema hispanicum,ubiquitin-like protein transferase activity,ubiquitin-protein transferase activity
A0A256IAG1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum halodurans,signaling receptor binding,cytoskeletal protein binding
A0A6B9Y376,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,,,haloarchaeon 3A1-DGR,acting on a protein,ubiquitin-like protein transferase activity
A0A161ZHL6,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,Haladaptatus sp. R4,acting on glycosyl bonds,DNA binding
A0A830G519,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,Halarchaeum rubridurum,carbohydrate derivative binding,ribonucleotide binding
A0A1N7FGE3,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,Natronorubrum daqingense,structural molecule activity,
A0A5Q0UJS9,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium sp. LC1Hm,transition metal ion binding,zinc ion binding
A0A1G8ZLR8,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halovenus,Halovenus aranensis,carbohydrate derivative binding,acting on a protein
A0A2G1X225,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum sp. C3,carbohydrate derivative binding,ribonucleotide binding
A0A1S8AWF5,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema saccharevitans,transition metal ion binding,zinc ion binding
A0A371MS17,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax sp. Atlit-6N,acting on a protein,transition metal ion binding
A0A1Q1FKD9,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,Halorientalis sp. IM1011,acting on ester bonds,nuclease activity
A0A662AT15,Bacteria,Bacteroidota,,,,,Bacteroidota bacterium,acting on ester bonds,nuclease activity
A0A2M7CFG5,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium CG03_land_8_20_14_0_80_45_14,DNA binding,transcription regulator activity
A0A426U555,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Oscillochloridaceae,Candidatus Viridilinea,Candidatus Viridilinea halotolerans,DNA binding,
A0A5E4KDP1,Archaea,,,,,,Uncultured archaeon,DNA binding,
A0A2W6YQ56,Bacteria,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena sp,acting on ester bonds,nuclease activity
A0A3A4QDY2,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,Desulfobacteraceae bacterium,structural molecule activity,structural constituent of ribosome
A0A1W9N027,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,Desulfobacteraceae bacterium IS3,DNA binding,transcription regulator activity
A0A1F6CTT0,Bacteria,Candidatus Handelsmanbacteria,,,,,Handelsmanbacteria sp. (strain RIFCSPLOWO2_12_FULL_64_10),acting on ester bonds,nuclease activity
S0G6W6,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum,Desulfotignum phosphitoxidans,acting on ester bonds,nuclease activity
B0JKA5,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,DNA binding,
A0A450Z1T6,Bacteria,Pseudomonadota,Gammaproteobacteria,,,Candidatus Kentron,Candidatus Kentron sp. SD,DNA binding,
A0A662AKN6,Bacteria,Bacteroidota,,,,,Bacteroidota bacterium,DNA binding,lyase activity
A0A1F2P707,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,Candidatus Syntrophoarchaeum,Candidatus Syntrophoarchaeum butanivorans,DNA binding,
D8G2Z6,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Kamptonema,Kamptonema sp. PCC 6506,ubiquitin-like protein transferase activity,ubiquitin-protein transferase activity
A0A1Y1Q196,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,,Thiotrichaceae bacterium IS1,transcription regulator activity,DNA-binding transcription factor activity
A0A7L9CDR0,Bacteria,Planctomycetota,Planctomycetia,,,,Planctomycetia bacterium,structural molecule activity,
A0A822IHG2,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,Methanosarcinales archaeon,acting on ester bonds,nuclease activity
A0A661SMY3,Bacteria,,Deltaproteobacteria,,,,Deltaproteobacteria bacterium,lyase activity,hydro-lyase activity
A0A0S6VZY8,Bacteria,,,,,Candidatus Moduliflexus,Candidatus Moduliflexus flocculans,acting on ester bonds,nuclease activity
A0A5E4HNF9,Archaea,,,,,,Uncultured archaeon,acting on ester bonds,
A0A363U4U2,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,,Anaerolineales bacterium,acting on ester bonds,nuclease activity
A0A090AGI7,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thioploca,Thioploca ingrica,ribonucleotide binding,carbohydrate derivative binding
K9ZH10,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena cylindrica,nuclease activity,acting on ester bonds
A0A3M1NN30,Bacteria,Calditrichota,,,,,Calditrichota bacterium,nuclease activity,acting on ester bonds
A0A1F8QYX0,Bacteria,Chloroflexota,,,,,Chloroflexi bacterium RBG_16_56_8,nuclease activity,acting on ester bonds
A0A0B0EE52,Bacteria,Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Scalinduaceae,Candidatus Scalindua,Candidatus Scalindua brodae,DNA binding,
A0A3M1RHK1,Bacteria,Nitrospinota,,,,,Nitrospinota bacterium,RNA binding,DNA binding
A0A3A0AW31,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,transition metal ion binding,DNA binding
A0A1W9SRM0,Bacteria,Bacteroidota,,,,,Bacteroidetes bacterium 4572_128,RNA binding,structural constituent of ribosome
A0A0M2UQM3,Bacteria,Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Brocadiaceae,Candidatus Brocadia,Candidatus Brocadia fulgida,structural molecule activity,structural constituent of ribosome
A0A521HX75,Bacteria,Chloroflexota,,,,,Chloroflexota bacterium,acting on ester bonds,
A0A2H0TJA4,Bacteria,Candidatus Nealsonbacteria,,,,,Candidatus Nealsonbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_37_25,acting on RNA,acting on ester bonds
